Brand,Nama,Harga,Jumlah Review,Variasi,Foto Produk
Rare Beauty,All Of The Above Weightless Eyeshadow Stick,Rp 470.000,(1266),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122906237-Rare-Beauty-All-Of-The-Above-Weightless-Eyeshadow-Stick-Compassion-_6a60e46e417b11588dba7d9c9191cea3c401d7e9_1692858566.png
Rare Beauty,Positive Light Silky Touch Highlighter,Rp 550.000,(7634),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122905421-Rare-Beauty-Positive-Light-Silky-Touch-Highlighter-Exhilarate_85eb70f54ae85cbda5f96272170dc146f85a390b_1680424995.png
DIOR,Forever Skin Correct High Perfection Concealer,Rp 880.000,(949),7 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901637756-DIOR-Forever-Skin-Correct-High-Perfection-Concealer-0-Neutral_2b2e3c62899ea6e5b87bf76636b52c88aa6a58df_1678419817.png
MAC Cosmetics,M·A·Cximal Mini Silky Matte Lipstick,Rp 295.000,(115),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_773602697106-MAC-Cosmetics-M-A-Cximal-Silky-Matte-_5da7605c791a633db6c67592d8029f680b9ae69c_1727684807.png
Rare Beauty,Soft Pinch Tinted Lip Oil,Rp 435.000,(12344),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122905834-Rare-Beauty-Soft-Pinch-Tinted-Lip-Oil-Honesty_08e35c222627aef16e81c7f03c7d5b22cf352689_1681717367.png
DIOR,Addict Lip Maximizer Plumping Gloss,Rp 720.000,(3359),20 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3348901635998-DIOR-Addict-Lip-Maximizer-Plumping-Gloss-001-Pink_9179c95dddefa65753b8542221d8ab9922195870_1672998308.png
Huda Beauty,Easy Bake Loose Powder Mini,Rp 470.000,(1637),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_6294018406532-Huda-Beauty-Easy-Bake-Loose-Powder-M_b1447ee9c6c7987f64a43ca56870799160951957_1755750730.png
MAC Cosmetics,Studio Fix Powder Plus Foundation Prefill,Rp 710.000,(39),9 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_IMAGE01_773602736904_StudioFixPowderKaizen_Prefill_NC20_660fbcd02eeab2c338c45be5d60107132db56050_1747814435.png
Yves Saint Laurent,Touche Éclat Glow-Pact Cushion Refill,Rp 950.000,(23),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_4935421768542-Yves-Saint-Laurent-Touche-Eclat-Mesh_f951fab3844074346487ac7feb9f1075b322c92f_1711558200.png
Rare Beauty,Soft Pinch Liquid Contour,Rp 610.000,(2514),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_840122907234-Rare-Beauty-Soft-Pinch-Liquid-Contour_be2bc9c4e9ae08ade02467f6d01d4fdd61077c28_1736846909.png
NARS,Light Reflecting Foundation,Rp 880.000,(2676),24 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_194251070384_1_c51dff334f0db087077c41662023e04c405e566a_1648542827.png
Anastasia Beverly Hills,Brow Wiz,Rp 485.000,(17273),12 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_zoom_21586_AnastasiaBeverlyHills_BrowWiz_Blonde_WEB_2dec73f4faa15e2d460b0bd560e7f5216b514ed5_1603762800.png
Laura Mercier,Translucent Loose Setting Powder,Rp 930.000,(10150),2 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_trans_2c17e4dbb357cb1ca3326a9a55ec68af53442481_1698037263.png
Estée Lauder,Double Wear Stay-in-Place Makeup SPF10 Foundation,Rp 880.000,(2505),14 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_6291_EsteeLauder_Web_1c4f07537463ad48043127380bc851811f41d189_1686127834.png
Sephora Collection,Outrageous Plump Lip Gloss,"Rp 288.000
   Rp 230.400 
    20% OFF",(3834),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3378872137023-Sephora-Collection-Outrageous-Plump-Lip-Gloss-07-Pink-Pout_275fa90bc18accb72ed950c63a7a53e0e91280b2_1661830839.png
Huda Beauty,#FauxFilter Color Corrector,Rp 625.000,(4491),7 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_pink_pom_c5d49635b6456079cddc6b21f4ad731454a6ef6d_1689065147.png
Yves Saint Laurent,LoveShine Lipstick,Rp 780.000,(1416),23 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_ysl_dmi_makl_ysl-loveshine-lipstick_packshot_front-opened_sh_de5579c352e364195907deacae0dc40128b11f29_1715957624.png
Yves Saint Laurent,Make Me Blush Bold Blurring Powder Blush,Rp 1.025.000,(730),8 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_3614274254372-Yves-Saint-Laurent-Make-Me-Blush-Bol_0b0ca6e9ce26cd5191e7a95c7f4cede4a1efc347_1739170972.png
Yves Saint Laurent,The Inks Vinyl Cream,Rp 800.000,(217),13 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_444_9a3e61b6bcc8abec08f195526c3132d5a4a98cc0_1759218823.png
Yves Saint Laurent,Le Cushion Encre de Peau Refill,Rp 950.000,(34),6 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_1_Product_4936968808470-Yves-Saint-Laurent-Cushion-Encre-De-_1d76fdc1b89dc08ae2b1475713c07c1eafe2a4ac_1711521674.png
Armani Beauty,Luminous Silk Foundation,Rp 1.250.000,(4486),18 shades,https://image-optimizer-id.production.sephora-asia.net/eyJlZGl0cyI6eyJyZXNpemUiOnt9fX0=/images/product_images/zoom_2_Product_3605521752505-Armani-Luminous-Silk-Foundation-6-25_8df32db70231fb4654a7da5ad5026ed32a6d88bc_1745562902.png
